"disciplina" "matricula" "competencia"
"Algebra Vetorial e Geometria Analitica" "111210452" "30"
"Algebra Vetorial e Geometria Analitica" "111210653" "40"
"Algebra Vetorial e Geometria Analitica" "111210656" "70"
"Algebra Vetorial e Geometria Analitica" "111210661" "20"
"Algebra Vetorial e Geometria Analitica" "111210663" "70"
"Algebra Vetorial e Geometria Analitica" "111210665" "70"
"Algebra Vetorial e Geometria Analitica" "111210667" "90"
"Algebra Vetorial e Geometria Analitica" "111210669" "90"
"Algebra Vetorial e Geometria Analitica" "111210792" "50"
"Algebra Vetorial e Geometria Analitica" "111210794" "80"
"Algebra Vetorial e Geometria Analitica" "111210796" "80"
"Algebra Vetorial e Geometria Analitica" "111210841" "30"
"Algebra Vetorial e Geometria Analitica" "111210870" "60"
"Algebra Vetorial e Geometria Analitica" "111210872" "20"
"Algebra Vetorial e Geometria Analitica" "111210873" "60"
"Algebra Vetorial e Geometria Analitica" "111210885" "80"
"Algebra Vetorial e Geometria Analitica" "111210943" "90"
"Algebra Vetorial e Geometria Analitica" "111210947" "90"
"Algebra Vetorial e Geometria Analitica" "111210951" "30"
"Algebra Vetorial e Geometria Analitica" "111210952" "60"
"Algebra Vetorial e Geometria Analitica" "111250009" "20"
"Algebra Vetorial e Geometria Analitica" "111250014" "10"
"Algebra Vetorial e Geometria Analitica" "111250017" "60"
"Algebra Vetorial e Geometria Analitica" "112110001" "10"
"Algebra Vetorial e Geometria Analitica" "112110002" "10"
"Algebra Vetorial e Geometria Analitica" "112110019" "40"
"Algebra Vetorial e Geometria Analitica" "112110020" "10"
"Algebra Vetorial e Geometria Analitica" "112110024" "30"
"Algebra Vetorial e Geometria Analitica" "112110025" "20"
"Algebra Vetorial e Geometria Analitica" "112110039" "10"
"Algebra Vetorial e Geometria Analitica" "112110044" "10"
"Algebra Vetorial e Geometria Analitica" "112110047" "30"
"Algebra Vetorial e Geometria Analitica" "112110048" "0"
"Algebra Vetorial e Geometria Analitica" "112110051" "20"
"Algebra Vetorial e Geometria Analitica" "112110055" "10"
"Algebra Vetorial e Geometria Analitica" "112110057" "90"
"Algebra Vetorial e Geometria Analitica" "112110068" "10"
"Algebra Vetorial e Geometria Analitica" "112110071" "0"
"Algebra Vetorial e Geometria Analitica" "112110076" "10"
"Algebra Vetorial e Geometria Analitica" "112110081" "20"
"Algebra Vetorial e Geometria Analitica" "112110083" "0"
"Algebra Vetorial e Geometria Analitica" "112110089" "50"
"Algebra Vetorial e Geometria Analitica" "112110090" "20"
"Algebra Vetorial e Geometria Analitica" "112110092" "70"
"Algebra Vetorial e Geometria Analitica" "112110094" "40"
"Algebra Vetorial e Geometria Analitica" "112110101" "40"
"Algebra Vetorial e Geometria Analitica" "112110106" "60"
"Algebra Vetorial e Geometria Analitica" "112110108" "60"
"Algebra Vetorial e Geometria Analitica" "112110874" "80"
"Algebra Vetorial e Geometria Analitica" "112110917" "40"
"Algebra Vetorial e Geometria Analitica" "112110923" "70"
"Algebra Vetorial e Geometria Analitica" "112110929" "0"
"Algebra Vetorial e Geometria Analitica" "112110936" "10"
"Algebra Vetorial e Geometria Analitica" "112110937" "20"
"Algebra Vetorial e Geometria Analitica" "112110938" "0"
"Algebra Vetorial e Geometria Analitica" "112110940" "10"
"Algebra Vetorial e Geometria Analitica" "112110941" "40"
"Algebra Vetorial e Geometria Analitica" "112110943" "10"
"Algebra Vetorial e Geometria Analitica" "112110944" "80"
"Algebra Vetorial e Geometria Analitica" "112110945" "10"
"Algebra Vetorial e Geometria Analitica" "112110947" "20"
"Algebra Vetorial e Geometria Analitica" "112110948" "30"
"Algebra Vetorial e Geometria Analitica" "112110949" "20"
"Algebra Vetorial e Geometria Analitica" "112110954" "60"
"Algebra Vetorial e Geometria Analitica" "112110956" "40"
"Algebra Vetorial e Geometria Analitica" "112110960" "90"
"Algebra Vetorial e Geometria Analitica" "112110961" "50"
"Algebra Vetorial e Geometria Analitica" "112150439" "50"
"Algebra Vetorial e Geometria Analitica" "112150451" "50"
"Algebra Vetorial e Geometria Analitica" "112150453" "70"
"Algebra Vetorial e Geometria Analitica" "112150455" "0"
"Algebra Vetorial e Geometria Analitica" "112150725" "90"
"Algebra Vetorial e Geometria Analitica" "112150726" "70"
"Algebra Vetorial e Geometria Analitica" "112150728" "50"
"Algebra Vetorial e Geometria Analitica" "112150732" "50"
"Algebra Vetorial e Geometria Analitica" "112150735" "10"
"Algebra Vetorial e Geometria Analitica" "112150916" "90"
"Algebra Vetorial e Geometria Analitica" "112150921" "60"
"Algebra Vetorial e Geometria Analitica" "112150922" "40"
"Algebra Vetorial e Geometria Analitica" "112190043" "80"
"Algebra Vetorial e Geometria Analitica" "112190146" "60"
"Algebra Vetorial e Geometria Analitica" "112190148" "70"
"Algebra Vetorial e Geometria Analitica" "112210041" "20"
"Algebra Vetorial e Geometria Analitica" "112210045" "50"
"Algebra Vetorial e Geometria Analitica" "112210046" "30"
"Algebra Vetorial e Geometria Analitica" "112210056" "50"
"Algebra Vetorial e Geometria Analitica" "112210060" "90"
"Algebra Vetorial e Geometria Analitica" "112210065" "40"
"Algebra Vetorial e Geometria Analitica" "112210067" "30"
"Algebra Vetorial e Geometria Analitica" "112210068" "20"
"Algebra Vetorial e Geometria Analitica" "112210078" "100"
"Algebra Vetorial e Geometria Analitica" "112210079" "20"
"Algebra Vetorial e Geometria Analitica" "112210081" "80"
"Algebra Vetorial e Geometria Analitica" "112210086" "0"
"Algebra Vetorial e Geometria Analitica" "112210089" "20"
"Algebra Vetorial e Geometria Analitica" "112210094" "10"
"Algebra Vetorial e Geometria Analitica" "112210095" "90"
"Algebra Vetorial e Geometria Analitica" "112210096" "20"
"Algebra Vetorial e Geometria Analitica" "112210099" "50"
"Algebra Vetorial e Geometria Analitica" "112210100" "90"
"Algebra Vetorial e Geometria Analitica" "112210103" "30"
"Algebra Vetorial e Geometria Analitica" "112210105" "50"
"Algebra Vetorial e Geometria Analitica" "112210108" "60"
"Algebra Vetorial e Geometria Analitica" "112210112" "70"
"Algebra Vetorial e Geometria Analitica" "112210121" "30"
"Algebra Vetorial e Geometria Analitica" "112210122" "0"
"Algebra Vetorial e Geometria Analitica" "112210123" "50"
"Algebra Vetorial e Geometria Analitica" "112210128" "80"
"Algebra Vetorial e Geometria Analitica" "112210425" "10"
"Algebra Vetorial e Geometria Analitica" "112210434" "50"
"Algebra Vetorial e Geometria Analitica" "112210436" "30"
"Algebra Vetorial e Geometria Analitica" "112210437" "30"
"Algebra Vetorial e Geometria Analitica" "112210439" "80"
"Algebra Vetorial e Geometria Analitica" "112210446" "100"
"Algebra Vetorial e Geometria Analitica" "112210449" "90"
"Algebra Vetorial e Geometria Analitica" "112210451" "30"
"Algebra Vetorial e Geometria Analitica" "112210453" "60"
"Algebra Vetorial e Geometria Analitica" "112210454" "70"
"Algebra Vetorial e Geometria Analitica" "112210456" "50"
"Algebra Vetorial e Geometria Analitica" "112210463" "60"
"Algebra Vetorial e Geometria Analitica" "112210464" "90"
"Algebra Vetorial e Geometria Analitica" "112210471" "40"
"Algebra Vetorial e Geometria Analitica" "112210472" "60"
"Algebra Vetorial e Geometria Analitica" "112210479" "80"
"Algebra Vetorial e Geometria Analitica" "112210640" "10"
"Algebra Vetorial e Geometria Analitica" "112210645" "30"
"Algebra Vetorial e Geometria Analitica" "112210647" "70"
"Algebra Vetorial e Geometria Analitica" "112210650" "20"
"Algebra Vetorial e Geometria Analitica" "112210653" "10"
"Algebra Vetorial e Geometria Analitica" "112210660" "40"
"Algebra Vetorial e Geometria Analitica" "112210665" "10"
"Algebra Vetorial e Geometria Analitica" "112210666" "20"
"Algebra Vetorial e Geometria Analitica" "112210667" "80"
"Algebra Vetorial e Geometria Analitica" "112210668" "60"
"Algebra Vetorial e Geometria Analitica" "112210672" "80"
"Algebra Vetorial e Geometria Analitica" "112210777" "40"
"Algebra Vetorial e Geometria Analitica" "112210783" "90"
